Date,Open,High,Low,Close,Adj Close,Volume
2003-01-01,0.959500,1.164000,0.927500,1.092500,1.092500,3383944000
2003-02-01,1.097000,1.125000,0.980500,1.100500,1.100500,2318838000
2003-03-01,1.107500,1.402000,1.068000,1.301500,1.301500,3281872000
2003-04-01,1.277500,1.459500,1.206500,1.434500,1.434500,4392886000
2003-05-01,1.434000,1.804500,1.407500,1.794500,1.794500,3816676000
2003-06-01,1.825000,1.862000,1.641500,1.816000,1.816000,3429416000
2003-07-01,1.816500,2.155000,1.700000,2.082000,2.082000,4584790000
2003-08-01,2.070500,2.347500,1.914000,2.316000,2.316000,3014378000
2003-09-01,2.326000,2.565000,2.236500,2.421500,2.421500,4056728000
2003-10-01,2.418500,3.057500,2.375500,2.721500,2.721500,5764506000
2003-11-01,2.740000,2.874500,2.383500,2.698500,2.698500,3639580000
2003-12-01,2.720000,2.747000,2.350000,2.631000,2.631000,3873504000
2004-01-01,2.638000,2.891000,2.430000,2.520000,2.520000,4358694000
2004-02-01,2.532500,2.532500,2.111500,2.150500,2.150500,3714954000
2004-03-01,2.151000,2.253000,1.957500,2.164000,2.164000,3095410000
2004-04-01,2.172500,2.455000,2.165000,2.180000,2.180000,3252732000
2004-05-01,2.174000,2.434000,2.027500,2.425000,2.425000,3003930000
2004-06-01,2.393500,2.735000,2.385000,2.720000,2.720000,3225024000
2004-07-01,2.690000,2.702000,1.869000,1.946000,1.946000,4048740000
2004-08-01,1.922500,2.041500,1.742500,1.907000,1.907000,3600448000
2004-09-01,1.911500,2.214000,1.868000,2.043000,2.043000,3523538000
2004-10-01,2.064500,2.135000,1.650000,1.706500,1.706500,4171368000
2004-11-01,1.711000,2.075000,1.707500,1.984000,1.984000,3369498000
2004-12-01,2.000000,2.284000,1.899500,2.214500,2.214500,3520296000
2005-01-01,2.247500,2.272000,2.013000,2.161000,2.161000,3898704000
2005-02-01,2.150000,2.177000,1.660000,1.759000,1.759000,4373102000
2005-03-01,1.753000,1.821500,1.641000,1.713500,1.713500,2391332000
2005-04-01,1.731500,1.767000,1.530000,1.618000,1.618000,3249826000
2005-05-01,1.615000,1.802000,1.605000,1.775500,1.775500,2338956000
2005-06-01,1.778500,1.849500,1.646500,1.654500,1.654500,2124672000
2005-07-01,1.662000,2.290500,1.639500,2.257500,2.257500,3652022000
2005-08-01,2.244000,2.348500,2.095500,2.135000,2.135000,2295022000
2005-09-01,2.126000,2.292000,2.025000,2.265000,2.265000,2094008000
2005-10-01,2.266500,2.350000,1.936000,1.993000,1.993000,2939602000
2005-11-01,1.998500,2.471500,1.982500,2.423000,2.423000,4329106000
2005-12-01,2.444000,2.500000,2.357000,2.357500,2.357500,2423356000
2006-01-01,2.373500,2.429000,2.155000,2.241000,2.241000,2468206000
2006-02-01,2.196000,2.234500,1.852500,1.872000,1.872000,3310894000
2006-03-01,1.872500,1.891500,1.757000,1.826500,1.826500,2443562000
2006-04-01,1.833500,1.942000,1.750500,1.760500,1.760500,2135172000
2006-05-01,1.759500,1.825000,1.576000,1.730500,1.730500,2937920000
2006-06-01,1.731500,1.942000,1.621000,1.934000,1.934000,2302348000
2006-07-01,1.926000,1.931000,1.298000,1.344500,1.344500,4573268000
2006-08-01,1.327500,1.549500,1.288000,1.541500,1.541500,3183736000
2006-09-01,1.542500,1.640500,1.484000,1.606000,1.606000,2920374000
